date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:29:56	327/327	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2016:29:21%20GMT	http://www.authenticgoods.co/robots.txt		(from )
00:29:58	91255/91255	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:49%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/index.html	(from )
00:30:02	91255/91255	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:49%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/index.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/index-2.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:04	77047/77047	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:56%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/dashboard.analytics.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/dashboard.analytics.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:04	65159/65159	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:57%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/dashboard.financials.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/dashboard.financials.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:08	80540/80540	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:15:01%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/dashboard.ecommerce.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/dashboard.ecommerce.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:08	58848/58848	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:52%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.blank.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.blank.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:10	66974/66974	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:52%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.1-column-wide.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.1-column-wide.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:12	66917/66917	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:48%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.1-column-boxed.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.1-column-boxed.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:14	70357/70357	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:59%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.tabbed-header.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.tabbed-header.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:16	65633/65633	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:49%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.left-sidebar.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.left-sidebar.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:18	65813/65813	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:59%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.right-sidebar.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.right-sidebar.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:22	66789/66789	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:15:01%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.left-right-sidebars.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/layout.left-right-sidebars.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:24	103284/103284	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:55%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.profile.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.profile.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:24	70869/70869	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:57%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.help-center.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.help-center.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:26	87984/87984	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:51%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.search.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.search.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:30	65103/65103	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:15:00%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.pricing-tables.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.pricing-tables.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:32	88303/88303	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:48%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.my-account.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.my-account.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:32	68211/68211	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:56%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.invoice-template.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/pages.invoice-template.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:34	75722/75722	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:53%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/cards.basic-content-types.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/cards.basic-content-types.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:36	67836/67836	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:56%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/cards.basic-layouts.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/cards.basic-layouts.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
00:30:40	87269/87269	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2003:14:50%20GMT	http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/cards.basic-navigation.html	/Users/mac/Desktop/gitlab/autoaid/public/theme/autoaid/www.authenticgoods.co/themes/quantum-pro/demos/demo2/cards.basic-navigation.html	(from http://www.authenticgoods.co/themes/quantum-pro/demos/demo2/)
